246	247	# Ɇ => ɇ
248	249	# Ɉ => ɉ
24A	24B	# Ɋ => ɋ
24C	24D	# Ɍ => ɍ
24E	24F	# Ɏ => ɏ
370	371	# Ͱ => ͱ
372	373	# Ͳ => ͳ
376	377	# Ͷ => ͷ
37F	3F3	# Ϳ => ϳ
386	3AC	# Ά => ά
388	3AD	# Έ => έ
389	3AE	# Ή => ή
38A	3AF	# Ί => ί
38C	3CC	# Ό => ό
38E	3CD	# Ύ => ύ
38F	3CE	# Ώ => ώ
391	3B1	# Α => α
392	3B2	# Β => β
393	3B3	# Γ => γ
394	3B4	# Δ => δ
395	3B5	# Ε => ε
396	3B6	# Ζ => ζ
397	3B7	# Η => η
398	3B8	# Θ => θ
399	3B9	# Ι => ι
39A	3BA	# Κ => κ
39B	3BB	# Λ => λ
39C	3BC	# Μ => μ
39D	3BD	# Ν => ν
39E	3BE	# Ξ => ξ
39F	3BF	# Ο => ο
3A0	3C0	# Π => π
3A1	3C1	# Ρ => ρ
3A3	3C3	# Σ => σ
3A4	3C4	# Τ => τ
3A5	3C5	# Υ => υ
3A6	3C6	# Φ => φ
3A7	3C7	# Χ => χ
3A8	3C8	# Ψ => ψ
3A9	3C9	# Ω => ω
3AA	3CA	# Ϊ => ϊ
3AB	3CB	# Ϋ => ϋ
3CF	3D7	# Ϗ => ϗ
3D2	3C5	# ϒ => υ
3D3	3CD	# ϓ => ύ
3D4	3CB	# ϔ => ϋ
3D8	3D9	# Ϙ => ϙ
3DA	3DB	# Ϛ => ϛ
3DC	3DD	# Ϝ => ϝ
3DE	3DF	# Ϟ => ϟ
3E0	3E1	# Ϡ => ϡ
3E2	3E3	# Ϣ => ϣ
3E4	3E5	# Ϥ => ϥ
3E6	3E7	# Ϧ => ϧ
3E8	3E9	# Ϩ => ϩ
3EA	3EB	# Ϫ => ϫ
3EC	3ED	# Ϭ => ϭ
3EE	3EF	# Ϯ => ϯ
3F4	3B8	# ϴ => θ
3F7	3F8	# Ϸ => ϸ
3F9	3C3	# Ϲ => σ
3FA	3FB	# Ϻ => ϻ
3FD	37B	# Ͻ => ͻ
3FE	37C	# Ͼ => ͼ
3FF	37D	# Ͽ => ͽ
400	450	# Ѐ => ѐ
401	451	# Ё => ё
402	452	# Ђ => ђ
403	453	# Ѓ => ѓ
404	454	# Є => є
405	455	# Ѕ => ѕ
406	456	# І => і
